Id,ActivityMinute,Calories,Date
1503960366,2016-03-22 01:35:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:36:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:37:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:38:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:39:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:40:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:41:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:42:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:43:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:44:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:45:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:46:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:47:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:48:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:49:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:50:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:51:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:52:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:53:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:54:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:55:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:56:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:57:00,0.946799993515015,2016-03-22
1503960366,2016-03-22 01:58:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 01:59:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:00:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:01:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:02:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:03:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:04:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:05:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:06:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:07:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:08:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:09:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:10:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:11:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:12:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:13:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:14:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:15:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:16:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:17:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:18:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:19:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:20:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:21:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:22:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:23:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:24:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:25:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:26:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:27:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:28:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:29:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:30:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:31:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:32:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:33:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:34:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:35:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:36:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:37:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:38:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:39:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:40:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:41:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:42:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:43:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:44:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:45:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:46:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:47:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:48:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:49:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:50:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:51:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:52:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:53:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:54:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:55:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:56:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:57:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:58:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 02:59:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:00:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:01:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:02:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:03:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:04:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:05:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:06:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:07:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:08:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:09:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:10:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:11:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:12:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:13:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:14:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:15:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:16:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:17:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:18:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:19:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:20:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:21:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:22:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:23:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:24:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:25:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:26:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:27:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:28:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:29:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:30:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:31:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:32:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:33:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:34:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:35:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:36:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:37:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:38:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:39:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:40:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:41:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:42:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:43:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:44:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:45:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:46:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:47:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:48:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:49:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:50:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:51:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:52:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:53:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:54:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:55:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:56:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:57:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:58:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 03:59:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:00:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:01:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:02:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:03:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:04:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:05:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:06:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:07:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:08:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:09:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:10:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:11:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:12:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:13:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:14:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:15:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:16:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:17:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:18:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:19:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:20:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:21:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:22:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:23:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:24:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:25:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:26:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:27:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:28:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:29:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:30:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:31:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:32:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:33:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:34:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:35:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:36:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:37:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:38:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:39:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:40:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:41:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:42:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:43:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:44:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:45:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:46:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:47:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:48:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:49:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:50:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:51:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:52:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:53:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:54:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:55:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:56:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:57:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:58:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 04:59:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:00:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:01:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:02:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:03:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:04:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:05:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:06:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:07:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:08:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:09:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:10:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:11:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:12:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:13:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:14:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:15:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:16:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:17:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:18:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:19:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:20:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:21:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:22:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:23:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:24:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:25:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:26:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:27:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:28:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:29:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:30:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:31:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:32:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:33:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:34:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:35:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:36:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:37:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:38:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:39:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:40:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:41:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:42:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:43:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:44:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:45:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:46:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:47:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:48:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:49:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:50:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:51:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:52:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:53:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:54:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:55:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:56:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:57:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:58:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 05:59:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:00:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:01:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:02:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:03:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:04:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:05:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:06:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:07:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:08:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:09:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:10:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:11:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:12:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:13:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:14:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:15:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:16:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:17:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:18:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:19:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:20:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:21:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:22:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:23:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:24:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:25:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:26:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:27:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:28:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:29:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:30:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:31:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:32:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:33:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:34:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:35:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:36:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:37:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:38:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:39:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:40:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:41:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:42:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:43:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:44:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:45:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:46:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:47:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:48:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:49:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:50:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:51:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:52:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:53:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:54:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:55:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:56:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:57:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:58:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 06:59:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 07:00:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 07:01:00,0.788999974727631,2016-03-22
1503960366,2016-03-22 07:02:00,0.788999974727631,2016-03-22
