Id,ActivityMinute,Calories,Date
1503960366,2016-04-23 04:17:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:18:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:19:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:20:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:21:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:22:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:23:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:24:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:25:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:26:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:27:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:28:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:29:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:30:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:31:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:32:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:33:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:34:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:35:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:36:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:37:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:38:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:39:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:40:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:41:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:42:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:43:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:44:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:45:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:46:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:47:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:48:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:49:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:50:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:51:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:52:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:53:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:54:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:55:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:56:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:57:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:58:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 04:59:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:00:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:01:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:02:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:03:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:04:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:05:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:06:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:07:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:08:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:09:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:10:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:11:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:12:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:13:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:14:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:15:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:16:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:17:00,0.94379997253418,2016-04-23
1503960366,2016-04-23 05:18:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:19:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:20:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:21:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:22:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:23:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:24:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:25:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:26:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:27:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:28:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:29:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:30:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:31:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:32:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:33:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:34:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:35:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:36:00,0.94379997253418,2016-04-23
1503960366,2016-04-23 05:37:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:38:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:39:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:40:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:41:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:42:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:43:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:44:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:45:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:46:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:47:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:48:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:49:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:50:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:51:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:52:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:53:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:54:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:55:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:56:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:57:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:58:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 05:59:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:00:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:01:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:02:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:03:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:04:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:05:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:06:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:07:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:08:00,2.04489994049072,2016-04-23
1503960366,2016-04-23 06:09:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:10:00,0.94379997253418,2016-04-23
1503960366,2016-04-23 06:11:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:12:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:13:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:14:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:15:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:16:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:17:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:18:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:19:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:20:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:21:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:22:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:23:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:24:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:25:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:26:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:27:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:28:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:29:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:30:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:31:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:32:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:33:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:34:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:35:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:36:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:37:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:38:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:39:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:40:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:41:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:42:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:43:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:44:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:45:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:46:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:47:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:48:00,1.88759994506836,2016-04-23
1503960366,2016-04-23 06:49:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:50:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:51:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:52:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:53:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:54:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:55:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:56:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:57:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:58:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 06:59:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 07:00:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 07:01:00,0.786499977111816,2016-04-23
1503960366,2016-04-23 07:02:00,0.786499977111816,2016-04-23
